#{"t_start": 1768085098.483219, "env_id": "LunarLander-v3"}
r,l,t
-351.158977,123,0.032129
-131.249228,91,0.038342
-207.867674,68,0.04344
-28.939202,100,0.050551
-165.300501,102,0.05915
-402.625129,96,0.065756
-157.741211,85,0.071311
-229.135721,81,0.07694
-119.822411,103,0.08621
-428.380855,88,0.091955
-278.337247,92,0.117038
-145.120616,97,0.179822
-93.955607,76,0.22911
-274.812815,85,0.282241
-311.57912,100,0.347654
-208.099682,110,0.420278
-360.737003,78,0.468217
-269.969933,111,0.531792
-86.570463,84,0.58053
-188.990665,90,0.631952
-116.633163,91,0.70575
-63.670741,64,0.760032
-285.382006,84,0.826761
-68.40666,69,0.891344
-84.999819,76,0.972471
-89.557587,76,1.054756
-126.740455,84,1.106531
-191.703384,115,1.186375
-220.266212,72,1.237966
-337.270867,129,1.31882
-87.202476,79,1.385758
-69.38475,60,1.427418
-206.769781,116,1.507102
-85.0974,119,1.595491
-253.909275,72,1.639985
-192.40255,108,1.715554
-88.59484,77,1.780757
-234.727873,106,1.849694
-230.209399,156,1.949725
-49.94575,81,1.999291
-147.11626,81,2.049685
-125.674536,164,2.155789
-196.601259,73,2.200138
-172.154179,177,2.31144
-396.369773,105,2.379335
-77.567211,73,2.424358
-351.764538,131,2.504664
-39.121563,62,2.542305
-298.610703,87,2.60116
-53.555935,67,2.643532
-197.870528,64,2.683792
-321.337796,99,2.7496
-283.899945,130,2.840446
-128.254783,113,2.912177
-112.365976,73,2.958165
-77.737107,95,3.015851
-242.438314,126,3.099613
-126.341317,122,3.177915
-137.090309,69,3.224116
-135.426479,154,3.320152
-76.311342,82,3.379885
-243.303812,130,3.465216
-106.116555,164,3.575355
-302.628464,105,3.643653
-146.410231,76,3.719645
-238.852583,102,3.815069
-264.384158,158,3.922265
-199.154788,102,3.995939
-135.065018,84,4.058017
-70.311472,145,4.158165
-116.257407,107,4.225669
-200.346566,66,4.270973
-110.566406,78,4.326575
-74.380727,80,4.383242
-119.76668,116,4.464233
-221.875705,121,4.556381
-140.924152,123,4.643057
-99.836924,161,4.75356
-46.410841,76,4.801088
-102.495695,92,4.855897
-150.760751,102,4.920769
-116.129495,67,4.958214
-23.68867,75,5.006026
-217.913702,112,5.074528
-98.055605,96,5.133742
-70.799483,78,5.182543
-186.383143,93,5.236567
-46.547647,141,5.322178
-155.078497,84,5.380008
-159.462215,84,5.432942
-339.051916,137,5.517365
-129.099689,103,5.58196
4.514688,113,5.660841
-120.285942,111,5.726352
-211.377824,136,5.81498
-225.802692,160,5.911006
3.818352,132,5.998971
-122.895254,92,6.058364
-44.818044,161,6.160732
-136.081865,150,6.255447
-143.082624,94,6.316392
-104.382093,104,6.384961
-308.156203,139,6.473383
-186.331794,160,6.573004
-153.573985,74,6.621981
-338.222391,107,6.690311
-263.490892,111,6.766909
-101.992602,85,6.821759
-106.20272,155,6.923677
-156.099148,137,7.00953
-130.01533,196,7.129725
-140.803345,118,7.205365
-173.446043,95,7.267022
-43.773251,125,7.34126
-109.024547,110,7.408997
-74.143044,102,7.473948
-56.648124,126,7.554913
-19.964202,92,7.617014
-66.377036,140,7.718
-153.086249,113,7.801819
-78.917122,112,7.871787
-2.569792,123,7.949296
-108.204925,120,8.026078
-86.144258,135,8.113689
-301.395581,104,8.189866
-113.405687,200,8.317721
-154.906337,94,8.376042
-173.422062,124,8.457353
-108.869696,162,8.564211
-171.194973,113,8.638854
-249.008897,163,8.743597
-277.64399,134,8.830492
-126.911493,221,8.976628
-55.450196,158,9.074514
-127.673042,107,9.143903
34.626229,1000,9.837472
-100.274692,130,9.926299
-94.438726,128,10.010075
-21.989044,113,10.090481
-88.285701,179,10.214177
-84.112459,153,10.337878
-64.499027,127,10.420424
-72.978029,161,10.52275
-33.818813,180,10.644756
-88.704096,105,10.738298
-104.132669,248,10.910527
-90.721419,179,11.036632
-16.357171,282,11.248749
-178.858481,118,11.333576
17.948313,148,11.43482
-97.837711,135,11.521123
-91.887705,118,11.60001
-28.829076,157,11.708032
-82.934655,128,11.796925
-136.308304,157,11.904377
-112.954873,246,12.065403
-94.791271,183,12.191197
-43.460066,136,12.284829
38.068476,240,12.456545
-83.221613,154,12.566263
-67.100643,216,12.715602
25.617396,1000,13.442039
-69.130279,163,13.552392
-59.140686,186,13.720025
-59.274694,104,13.804114
-44.464309,256,13.979087
-67.805786,119,14.058917
80.916457,1000,14.808724
-106.162392,327,15.06825
-51.536696,310,15.279959
-95.426583,632,15.721495
-79.109908,634,16.172199
-86.184059,324,16.428088
-57.74453,548,16.802497
62.602169,1000,17.523721
-64.792788,131,17.615868
-95.15295,628,18.097989
-44.350766,371,18.35601
87.36229,1000,19.094912
-28.984019,1000,19.828765
-3.402856,1000,20.590883
-57.075312,1000,21.352597
-71.457935,1000,22.102966
-42.616435,1000,22.850574
-4.527507,1000,23.617674
-42.07255,1000,24.38966
-41.83976,1000,25.148357
-56.904638,1000,25.924923
-96.296463,1000,26.694803
-47.499472,1000,27.467642
-112.6302,1000,28.276944
-100.321255,1000,29.086351
-56.868475,1000,29.900676
-89.428211,1000,30.735257
-169.895625,832,31.440528
-51.203074,1000,32.245111
4.936704,1000,33.096603
-55.516236,1000,33.920005
-109.307131,920,34.642502
-93.202393,561,35.077924
-151.236827,715,35.643762
-136.132475,849,36.313303
-120.624388,462,36.697682
