#{"t_start": 1768085813.8308547, "env_id": "LunarLander-v3"}
r,l,t
-354.008977,123,0.023477
-133.439228,91,0.029698
-209.307674,68,0.034471
-31.249202,100,0.041573
-167.430501,102,0.050485
-404.695129,96,0.057311
-159.751211,85,0.063152
-231.025721,81,0.068761
-121.952411,103,0.080827
-430.270855,88,0.087521
-280.467247,92,0.109562
-147.250616,97,0.166352
-95.905607,76,0.223862
-276.852815,85,0.289237
-313.94912,100,0.350059
-210.559682,110,0.412845
-362.357003,78,0.46439
-272.369933,111,0.529669
-88.580463,84,0.575576
-190.970665,90,0.634325
-118.583163,91,0.70377
-65.020741,64,0.775833
-287.512006,84,0.862609
-70.08666,69,0.903578
-86.889819,76,0.953804
-91.177587,76,1.000491
-128.570455,84,1.095678
-194.253384,115,1.170328
-221.736212,72,1.215032
-340.420867,129,1.294686
-88.972476,79,1.347725
-70.67475,60,1.381985
-209.379781,116,1.476795
-87.9774,119,1.54987
-255.529275,72,1.606761
-194.92255,108,1.682
-90.36484,77,1.734348
-236.887873,106,1.798249
-234.019399,156,1.888564
-51.56575,81,1.933189
-149.03626,81,1.979476
-129.724536,164,2.072483
-198.071259,73,2.113498
-176.144179,177,2.214673
-398.859773,105,2.279481
-79.127211,73,2.320314
-354.824538,131,2.401721
-40.621563,62,2.439381
-300.680703,87,2.501265
-55.235935,67,2.541239
-199.460528,64,2.576225
-323.617796,99,2.647479
-286.779945,130,2.749705
-130.954783,113,2.829556
-113.925976,73,2.875975
-79.957107,95,2.964538
-245.498314,126,3.050421
-129.251317,122,3.125955
-138.860309,69,3.171795
-119.730294,158,3.266519
-69.873366,87,3.329846
-215.607771,112,3.407701
-147.820234,130,3.493109
-392.024524,109,3.564214
-200.329531,71,3.610614
-208.121568,140,3.696152
-289.575987,104,3.763742
-86.916726,65,3.805328
-76.517594,64,3.852817
-59.547848,114,3.927986
-55.293468,87,3.979855
-118.388304,89,4.037123
-130.595225,72,4.081705
-386.012618,139,4.164462
-74.281589,356,4.406253
-180.560174,106,4.472266
-106.931739,113,4.552462
-204.593517,76,4.597122
-77.708557,111,4.663481
-54.445557,75,4.70666
-54.107288,124,4.781716
-37.601029,107,4.852328
-156.014092,76,4.899164
-155.020062,101,4.962299
-169.485169,101,5.021474
-121.484234,78,5.072172
-82.008293,66,5.110029
-57.59798,86,5.163354
-72.877975,70,5.207034
-89.793084,106,5.271346
-72.401882,86,5.321926
-126.970324,127,5.412167
-128.79963,161,5.519258
-192.549568,94,5.57726
-118.498801,106,5.639277
-104.572211,120,5.709977
-126.546544,110,5.787883
-68.172578,83,5.844369
-152.359773,228,5.991221
-179.081106,168,6.099694
-196.787381,115,6.174524
