#{"t_start": 1768084088.2404892, "env_id": "LunarLander-v3"}
r,l,t
-351.158977,123,0.027278
-131.249228,91,0.034693
-207.867674,68,0.039386
-28.939202,100,0.046097
-165.300501,102,0.054613
-402.625129,96,0.060937
-157.741211,85,0.066762
-229.135721,81,0.072481
-119.822411,103,0.081317
-428.380855,88,0.08792
-278.337247,92,0.112542
-219.217489,95,0.167459
-121.774331,129,0.239477
-147.824689,66,0.273945
-209.261148,72,0.315917
-277.490985,109,0.373777
-103.818946,66,0.410355
-111.00523,114,0.470423
-132.988452,139,0.541708
-371.019215,86,0.58715
-245.994633,85,0.635072
-316.41147,104,0.692163
-326.42152,83,0.748231
-324.388933,106,0.820326
-88.245295,77,0.93277
-92.195647,97,0.99662
-110.620979,87,1.039716
-136.965446,77,1.085919
-229.229993,102,1.139445
-387.147055,79,1.179487
-149.260593,97,1.230023
-243.538539,129,1.297469
-133.606512,124,1.365554
-116.088627,65,1.400618
-88.893035,76,1.4409
-58.910364,71,1.476949
-196.368755,141,1.557205
-247.005398,114,1.615026
-154.76827,110,1.681199
-392.165956,84,1.725451
-117.968579,96,1.777486
-19.34393,83,1.82032
-341.00285,150,1.899376
-360.028823,126,1.966238
-430.691364,118,2.02953
-324.514054,104,2.083357
-299.722682,114,2.140261
7.938575,94,2.190739
-405.11387,96,2.243407
-118.007249,84,2.289639
-242.780607,123,2.355573
-53.600483,68,2.392724
-187.768368,97,2.446127
-95.23934,105,2.500438
-282.396975,102,2.555673
-220.505356,149,2.639143
-149.23657,120,2.706325
-87.041318,71,2.743367
29.83313,88,2.789533
-108.365966,89,2.835778
-195.375581,86,2.884368
-111.62179,135,2.959858
-294.397531,116,3.02007
-339.16787,138,3.094651
-140.830743,105,3.151901
-268.558963,118,3.213
-95.998987,117,3.277197
-190.460336,133,3.35284
-119.717114,83,3.398663
-147.559426,82,3.441931
-83.36122,82,3.485997
-86.618714,71,3.521425
-289.348627,109,3.583222
-94.051286,84,3.626822
-97.35412,191,3.753814
-36.312944,116,3.875486
-139.861339,106,3.939421
-107.028986,87,3.989116
-64.485399,92,4.037717
-131.798571,104,4.092749
-104.437658,123,4.161109
-96.229404,88,4.209009
-213.761727,96,4.261168
-123.82339,74,4.302003
-131.218926,69,4.340615
-159.134827,109,4.399757
-117.115247,113,4.462162
-186.21554,95,4.510619
-571.419008,168,4.603557
-90.901304,86,4.653247
-299.972248,104,4.712458
-210.377947,135,4.800802
-92.959609,77,4.851754
-297.167247,187,4.953337
-259.059345,126,5.022315
-266.207437,103,5.078462
-149.725978,78,5.123763
-146.409969,189,5.231291
-143.964473,203,5.343953
-39.525503,137,5.421038
-85.30151,118,5.487739
-346.590965,132,5.562889
-126.864537,107,5.6218
12.457658,108,5.683988
-98.732207,110,5.773509
-164.38979,130,5.850812
-154.207317,122,5.922345
-164.693636,148,6.016946
-91.324138,176,6.119117
-81.976333,104,6.174651
-107.131042,112,6.236837
-186.891143,83,6.282647
-141.459191,84,6.330123
-153.453508,195,6.439801
-134.436375,125,6.507471
-102.544219,77,6.551664
-292.235832,148,6.643179
-211.820516,267,6.799113
-130.135828,226,6.932477
-40.695398,127,7.007842
-67.257125,184,7.120305
-21.448771,170,7.218096
-321.89332,148,7.306588
-192.398106,169,7.407543
-162.207334,122,7.481331
-127.830215,93,7.53356
-150.784939,155,7.62025
-282.350217,370,7.84315
-102.156138,148,7.945595
-104.475374,154,8.037577
-201.890311,240,8.182871
-24.867046,194,8.295621
-91.551051,163,8.395323
-105.539192,161,8.48742
-91.25551,121,8.55686
-184.357177,157,8.650142
-91.354959,157,8.746048
-108.267126,114,8.81075
-109.699848,139,8.897312
-65.102405,118,8.968778
-134.558887,152,9.057327
-242.498665,257,9.206668
-84.388338,145,9.289539
-41.64683,208,9.40861
-198.965225,155,9.503056
-147.376116,647,9.870275
-79.865623,195,9.977804
-97.522271,124,10.048365
-200.562157,759,10.507633
15.310055,106,10.566523
-129.189828,386,10.790499
-87.657827,320,10.98408
-101.727764,132,11.066204
-28.664792,333,11.260355
-63.116759,211,11.382267
-91.968375,178,11.485632
-35.755211,190,11.599108
-22.921751,181,11.708503
-171.835029,270,11.86719
-64.215742,192,11.984664
-51.240994,234,12.119722
-252.202344,818,12.609579
-92.735316,137,12.693285
-222.675565,514,13.001012
-76.283734,1000,13.621118
-45.359464,218,13.752118
-132.724395,171,13.857199
-85.084558,126,13.935257
-88.13794,1000,14.552119
-95.834463,1000,15.18727
-131.872584,659,15.594984
-68.579443,1000,16.21067
-86.262607,1000,16.842423
-88.915152,1000,17.467473
-24.531198,1000,18.107216
-30.912141,1000,18.730641
-25.263247,1000,19.355469
-62.478597,1000,20.014121
-36.6982,1000,20.640118
-55.747175,1000,21.287259
-11.189184,1000,21.932295
-9.788924,1000,22.568231
-58.120163,1000,23.197005
-59.256418,1000,23.835941
-33.166926,1000,24.459877
-63.136594,1000,25.113726
-61.769001,1000,25.779797
-77.772609,1000,26.42418
-78.559217,1000,27.10692
211.931312,796,27.640279
-22.378853,1000,28.311761
-53.216399,1000,28.973712
-81.990451,1000,29.623515
-84.724854,1000,30.277452
-7.15894,1000,30.930835
-47.897399,1000,31.558504
-64.438259,1000,32.208105
-101.81072,1000,32.876059
6.765312,1000,33.511435
-53.308213,1000,34.15769
-88.685202,1000,34.796371
-74.636999,1000,35.459332
-73.339572,1000,36.108181
-91.113498,1000,36.759794
3.049405,1000,37.39412
-80.309666,1000,38.043437
-67.046903,1000,38.698337
10.282172,1000,39.321035
-68.634716,1000,39.954812
-81.554594,1000,40.583321
-34.464754,1000,41.231652
-83.789464,1000,41.870862
-37.861009,1000,42.515923
-12.601302,1000,43.187155
-61.649817,1000,43.834572
-22.445236,1000,44.456675
-44.390689,1000,45.108908
-29.134355,1000,45.773174
-49.258325,1000,46.401946
-39.995841,1000,47.026199
-55.514013,1000,47.665814
-23.239766,1000,48.313289
-7.36765,1000,48.975088
-5.828312,1000,49.62449
-29.324546,1000,50.26861
-44.21602,1000,50.923451
-9.359694,1000,51.616496
184.077782,835,52.156565
-5.40559,1000,52.805279
29.553518,1000,53.485313
136.204372,986,54.120792
0.751498,1000,54.745852
3.36422,1000,55.38474
2.719124,1000,56.070433
83.709775,1000,56.802976
-1.183542,1000,57.443419
16.659952,1000,58.102318
-1.093201,1000,58.825609
142.714666,911,59.408834
-12.818534,1000,60.05208
145.572,908,60.644632
148.459632,941,61.25505
143.539776,941,61.866428
-5.172282,1000,62.515648
31.249265,1000,63.170064
149.890655,930,63.810749
166.601559,972,64.421096
-6.011176,1000,65.070341
-23.6513,1000,65.742119
-10.964061,1000,66.408159
174.993028,851,66.964019
-15.824379,1000,67.587123
-4.431392,1000,68.238734
-34.268292,1000,68.910705
-15.62685,1000,69.541997
-10.243842,1000,70.18577
-23.970206,1000,70.835386
-21.175127,1000,71.499624
-18.135465,1000,72.150583
20.968829,1000,72.796939
-3.987947,1000,73.453145
-34.664521,1000,74.081771
0.799496,1000,74.722618
188.889545,779,75.220082
-29.233559,1000,75.919883
-37.468629,1000,76.558405
29.595847,1000,77.201787
-28.241665,1000,77.854144
-2.653717,1000,78.512397
-50.399405,1000,79.214057
14.471004,1000,79.877174
-21.67403,1000,80.517547
-24.642647,1000,81.192343
-53.807116,1000,81.873318
60.610575,1000,82.504509
14.257156,1000,83.143424
10.14731,1000,83.799058
-53.858718,1000,84.444786
-49.334199,1000,85.091183
-68.972401,1000,85.727278
-22.528967,1000,86.396774
-22.022913,1000,87.073497
-45.35854,1000,87.708384
-92.053897,1000,88.344732
166.740292,938,88.968875
-46.256835,1000,89.621099
14.085483,1000,90.282301
-7.676489,1000,90.926363
-34.23274,124,91.010129
-52.222996,1000,91.664465
36.431985,1000,92.311572
-13.548825,1000,92.967695
-63.399063,1000,93.644179
-45.077397,1000,94.288535
-64.26886,1000,94.934712
-42.272035,1000,95.564668
-50.755691,1000,96.229526
-75.667799,1000,96.879193
13.179714,195,97.005022
-124.959505,126,97.094761
7.894606,1000,97.765388
-103.652897,112,97.834508
188.861762,784,98.350942
-113.338197,999,99.002675
-76.764958,1000,99.68625
-82.224349,1000,100.334532
-39.188152,122,100.412585
-30.003051,1000,101.054774
-48.733679,1000,101.713672
-46.431533,192,101.834333
-10.237962,1000,102.526838
162.848255,875,103.08911
-78.952039,1000,103.760405
176.577126,874,104.330739
155.499239,903,104.909607
-22.23408,1000,105.562709
41.910976,209,105.711388
199.452103,681,106.171982
11.508997,192,106.29814
-4.938803,257,106.462751
-55.049086,115,106.539854
224.063849,613,106.941087
-61.935719,1000,107.580615
197.754126,574,107.956792
-76.011394,112,108.030696
228.532295,535,108.378593
-66.463703,1000,109.017283
242.131311,486,109.341686
170.067339,956,109.944298
51.157952,227,110.094608
54.523581,211,110.228361
-18.049675,1000,110.894685
233.065943,661,111.323065
129.427905,955,111.940443
-13.957712,1000,112.634665
151.819308,826,113.162694
29.333546,168,113.272145
74.316282,167,113.381532
5.47131,251,113.546735
254.22695,412,113.818016
-16.696392,252,113.983179
11.700036,176,114.094455
250.121272,343,114.3194
133.211668,901,114.967363
27.077659,135,115.055215
-105.713738,92,115.111511
176.171328,794,115.615211
262.240993,272,115.796138
203.120811,574,116.176415
50.399665,150,116.290104
45.146733,144,116.38181
35.504391,150,116.476891
209.303375,558,116.844445
178.806415,740,117.322538
171.545125,772,117.828292
-50.462277,592,118.209605
-124.057999,95,118.274133
196.275272,660,118.701641
-39.954071,593,119.086796
255.454391,400,119.358053
-2.937425,211,119.502501
6.040922,98,119.561948
153.222528,794,120.077027
50.031886,150,120.173708
9.729651,135,120.263729
59.789103,125,120.347352
-60.166448,95,120.409618
10.376481,93,120.467607
-0.990423,109,120.539628
-34.81637,491,120.85826
-219.661433,105,120.935614
150.69186,807,121.445132
15.538873,129,121.53231
167.445459,692,121.981499
141.471062,851,122.557449
164.535678,748,123.036268
46.617276,1000,123.692343
51.930828,192,123.812911
236.91825,286,124.000993
-25.393844,117,124.077123
21.581718,166,124.184898
24.226813,137,124.272751
170.757389,682,124.700995
197.73918,646,125.104783
273.88304,298,125.310391
149.693367,819,125.828856
246.148856,434,126.101703
135.043812,831,126.68204
52.337083,178,126.801193
146.513171,765,127.291394
35.211945,129,127.374529
145.374811,734,127.855131
184.043501,740,128.334487
41.26197,159,128.435217
232.074904,479,128.740644
7.931774,172,128.852714
243.556667,506,129.186629
307.549805,295,129.379667
184.468575,727,129.868138
209.796624,507,130.219255
142.30208,775,130.715574
185.546327,684,131.15167
207.051358,600,131.533771
115.960694,940,132.161299
74.219298,1000,132.813148
139.715431,894,133.389127
-11.788278,312,133.585429
60.973741,1000,134.235592
167.991025,680,134.67543
103.734191,1000,135.32638
251.84008,484,135.636186
181.245283,659,136.068609
208.79344,442,136.356038
-2.996456,248,136.539804
161.405239,723,137.007659
280.970649,305,137.237906
290.873903,297,137.432229
214.305043,641,137.844888
208.031948,627,138.254011
179.703837,760,138.741168
32.621875,203,138.872284
176.806582,702,139.323439
306.881839,315,139.521936
196.798733,579,139.905577
-43.245659,200,140.055972
229.513581,546,140.409392
145.358451,745,140.892873
150.45269,733,141.375907
-36.977457,468,141.681755
182.680706,713,142.208994
-31.721476,483,142.518136
166.402734,657,142.953718
224.677163,380,143.217955
-32.954637,106,143.287348
-33.65169,161,143.396304
-66.28583,341,143.623959
-3.439521,1000,144.285024
223.348597,371,144.515468
19.836064,155,144.612338
98.204565,844,145.153434
214.740775,515,145.478244
-20.800835,448,145.758746
-41.191112,121,145.836165
297.695355,308,146.0293
211.709641,585,146.402535
-8.890701,349,146.648028
-11.321534,563,147.036506
214.879963,491,147.385843
204.358706,532,147.723832
21.632549,196,147.851682
-38.19894,402,148.147305
207.481233,706,148.616715
183.442934,635,149.016207
196.29677,593,149.413298
0.067139,253,149.575998
101.854445,965,150.225935
186.469144,731,150.765227
208.282825,563,151.120611
132.170209,910,151.708122
21.014326,165,151.811547
207.191571,655,152.221998
-5.439195,221,152.365695
262.219293,316,152.56925
174.62774,602,152.960328
-60.296608,263,153.126872
-61.197394,598,153.521624
153.403986,851,154.085568
234.165738,420,154.354023
-65.399513,452,154.646763
95.842962,908,155.215313
-9.522544,192,155.339488
152.876418,876,155.911628
117.220924,899,156.497165
169.800485,678,156.949605
235.336158,332,157.16491
158.501913,931,157.786492
143.559791,744,158.265935
248.057862,484,158.580704
245.500334,415,158.852116
-22.122283,291,159.035052
97.673255,911,159.623124
-33.930391,303,159.81623
221.104435,570,160.226011
-65.01649,526,160.554872
32.794977,164,160.664971
185.521989,578,161.035021
-22.223604,222,161.174927
-16.040233,137,161.260244
-37.262703,263,161.423817
-41.092951,171,161.531197
-37.078598,102,161.595393
5.09627,211,161.730957
188.250501,674,162.171535
-28.876498,148,162.269914
-24.709785,227,162.414617
209.718268,427,162.692384
-103.860492,197,162.821342
226.908271,427,163.099607
214.210017,324,163.318662
87.966658,897,163.896259
240.472777,328,164.112296
171.885968,755,164.598139
-12.463956,319,164.806982
160.671114,810,165.320612
-29.936697,147,165.415716
-103.375621,135,165.50257
166.877762,935,166.111391
-92.97245,492,166.46426
-91.317876,436,166.750033
-69.285978,262,166.941448
37.860891,1000,167.586138
-118.530998,158,167.688889
25.463696,178,167.803755
-22.454211,341,168.025419
-66.911955,144,168.118166
8.28691,154,168.217224
-113.077031,147,168.316772
211.048953,315,168.520219
185.914617,673,168.953034
-82.777874,146,169.041702
197.021989,598,169.436234
-47.120294,330,169.655591
-69.660547,269,169.828777
-65.686474,356,170.076004
-33.188893,152,170.203698
-22.382633,153,170.302253
-91.601639,152,170.398024
245.155183,268,170.570554
3.052328,1000,171.214853
-0.442216,154,171.315011
10.336562,165,171.418945
130.911354,798,171.931928
-89.810731,212,172.075051
-64.774045,147,172.169101
-85.933941,272,172.374533
-8.437631,208,172.510484
287.412997,303,172.71891
-19.569413,139,172.804565
-86.749881,402,173.068438
-81.684314,429,173.339179
6.58421,170,173.453103
-66.035868,462,173.740649
-12.832426,460,174.032763
-11.554085,153,174.128734
128.108591,860,174.678936
194.357367,705,175.132782
-46.819449,179,175.25352
141.624705,861,175.864802
-47.469301,238,176.0216
192.838468,548,176.371003
91.578143,869,177.004611
-52.117231,312,177.22466
-74.07077,362,177.506001
-37.33911,465,177.806276
183.042725,566,178.195749
5.16401,1000,178.857181
46.145739,1000,179.521753
-18.051101,1000,180.185293
115.789965,829,180.707874
37.487628,1000,181.346293
81.882439,875,181.911115
15.597693,245,182.062384
195.269967,542,182.405224
-52.068802,513,182.765404
130.483805,930,183.38222
-7.410081,1000,184.03902
124.568741,961,184.65853
153.615025,783,185.169019
-67.882664,549,185.526095
-1.585628,161,185.635116
174.941778,737,186.114502
-6.209236,153,186.214848
-23.950657,240,186.373042
144.727104,837,186.914194
-7.685406,163,187.019076
163.047097,837,187.605016
132.402192,856,188.161767
177.957029,799,188.67482
113.385745,988,189.301019
28.99014,185,189.416737
248.707145,312,189.614707
27.201407,1000,190.266198
145.122023,932,190.880069
-8.912866,171,190.990976
2.17964,159,191.095847
-51.312116,309,191.301085
135.266635,850,191.854202
-23.508794,1000,192.522219
123.127787,713,192.991643
196.450757,690,193.430646
53.607741,180,193.546663
9.348063,1000,194.219613
28.285973,180,194.338054
-17.395164,1000,194.980312
163.608434,951,195.585949
23.090952,1000,196.213003
131.057023,949,196.821275
19.517102,161,196.928618
7.196275,1000,197.588482
-82.30262,633,197.995788
55.31549,200,198.128352
13.487322,1000,198.753031
92.098954,887,199.33073
-70.50403,531,199.660763
187.746176,816,200.186529
38.057919,190,200.309517
139.957211,786,200.866711
-157.454009,956,201.489558
-1.560984,150,201.587626
-6.893859,1000,202.21873
200.413243,672,202.643716
205.334787,511,202.971107
-99.102606,804,203.484373
-44.191928,538,203.818369
12.823039,191,203.93978
49.699438,181,204.054758
174.118354,795,204.55789
-5.183547,1000,205.181234
152.30769,941,205.780876
143.232114,904,206.343906
-54.572397,1000,206.967967
202.500191,733,207.47595
191.801271,760,207.963876
-130.766305,956,208.55441
-16.815408,1000,209.175371
-11.184951,1000,209.791192
-20.071427,1000,210.43085
-19.492931,1000,211.090863
-26.827929,1000,211.719185
-30.865861,1000,212.363109
-1.13727,1000,212.998499
-5.601911,1000,213.648862
-9.118254,1000,214.288988
220.60877,518,214.620944
238.834526,506,214.947868
-21.050263,1000,215.587558
8.095543,1000,216.231117
-70.998103,1000,216.904504
281.839437,301,217.091753
-93.410646,113,217.162508
24.908261,224,217.30656
-47.393192,1000,217.951881
-7.715931,1000,218.587453
159.147492,881,219.14082
-50.175356,1000,219.772309
-5.632917,1000,220.438445
153.98857,875,221.020869
-53.755212,1000,221.679816
274.032973,461,221.970698
12.745261,1000,222.595829
-45.803987,1000,223.240423
-192.75818,113,223.319784
27.763201,272,223.516901
-10.399337,203,223.647095
-42.186485,1000,224.282512
-28.83468,242,224.44105
-52.893884,1000,225.094389
-8.642534,1000,225.739998
223.879332,708,226.195392
-20.305155,1000,226.825682
135.522503,906,227.412344
-10.424747,373,227.666543
-58.360317,1000,228.316893
-54.168926,1000,228.947665
-44.499503,1000,229.586199
-37.015026,205,229.717969
4.779299,1000,230.392203
-73.460604,200,230.520561
-67.940873,1000,231.19603
110.524289,973,231.84166
15.175287,1000,232.522014
156.265611,778,233.022246
-11.716623,188,233.147805
216.297608,664,233.580361
164.933876,779,234.102027
-128.113485,639,234.514462
-40.53528,183,234.639451
158.334736,881,235.195107
-59.387373,1000,235.937842
-164.455444,964,236.770839
-52.92477,739,237.59663
-62.015519,107,237.704184
36.512123,179,237.862582
-59.950831,120,237.970641
-106.448034,616,238.517601
124.917861,994,239.321687
-29.224738,185,239.454258
-53.405045,1000,240.323145
213.083076,529,240.770995
-85.173918,178,240.946543
8.058084,295,241.195595
195.564956,755,241.869304
-42.327019,469,242.290431
-75.535528,181,242.462886
-134.905521,808,243.185676
-77.47847,518,243.617357
-117.808027,735,244.132861
-156.740248,899,244.737103
288.695498,400,245.022697
-70.492413,103,245.092517
1.374027,255,245.266627
-50.853883,153,245.371251
-1.369815,357,245.621329
-5.167433,290,245.826368
49.396168,1000,246.553466
-266.485682,218,246.707554
-39.963697,399,246.999014
-62.792132,172,247.115527
230.483268,331,247.342517
-48.975012,527,247.676943
-66.011103,363,247.927861
-90.846755,419,248.203992
145.516149,488,248.514001
-59.903609,493,248.831651
-128.03159,478,249.168735
-88.325212,523,249.56577
-39.487561,343,249.801669
-42.857781,256,249.976975
222.298756,497,250.289229
17.633528,245,250.440793
-61.420894,523,250.784451
-53.338291,388,251.056992
183.573552,558,251.419313
-57.900876,381,251.680154
-74.50158,322,251.905275
-7.207194,331,252.132763
-62.866046,169,252.240863
-68.293108,308,252.440901
-25.825706,301,252.642658
-53.158429,428,252.93294
14.890675,207,253.086174
-200.680654,99,253.156432
-184.032563,112,253.242304
162.263817,597,253.694146
-73.621056,511,254.051885
-33.612437,342,254.277859
-169.446323,121,254.358826
-183.472609,154,254.458233
-142.816478,165,254.56721
29.464279,1000,255.233126
-109.831932,279,255.427013
-67.727939,322,255.644206
-17.619797,336,255.865507
-57.929927,299,256.064492
-38.956474,292,256.257498
-121.906021,154,256.360005
-150.981601,154,256.460619
30.235722,176,256.575896
-29.477726,384,256.833682
-1.866675,188,256.963088
-89.33644,509,257.295996
-100.950252,142,257.390826
-115.11057,362,257.638331
-158.671209,75,257.685407
-18.94604,235,257.840344
-81.363577,296,258.048567
-98.328743,154,258.163258
-72.64674,266,258.338031
-35.320019,227,258.488541
-83.580699,160,258.594525
-42.675169,481,258.938049
-290.78816,251,259.105608
-128.938475,136,259.197702
-55.924522,309,259.398846
-10.609946,308,259.601223
-35.986678,305,259.810035
-123.079253,134,259.901261
-98.659709,281,260.090343
-64.838902,477,260.405505
-245.835694,137,260.493913
-74.170042,394,260.762449
-128.180174,155,260.866613
-402.823714,133,260.961741
-159.865643,306,261.16876
-70.864,374,261.432008
