#{"t_start": 1768084357.9020345, "env_id": "LunarLander-v3"}
r,l,t
-351.158977,123,0.026691
-131.249228,91,0.032655
-207.867674,68,0.040897
-28.939202,100,0.047735
-165.300501,102,0.056561
-402.625129,96,0.063193
-157.741211,85,0.070228
-229.135721,81,0.083592
-119.822411,103,0.111295
-428.380855,88,0.12025
-278.337247,92,0.152844
-163.408793,98,0.240014
-264.038447,112,0.342611
-108.735406,110,0.416964
-87.754509,85,0.476349
-292.029799,83,0.549053
-120.006969,125,0.653573
-158.505157,75,0.693619
-293.01547,134,0.765759
-395.489059,100,0.826593
-101.988534,76,0.871667
-339.421116,83,0.91641
-257.051614,114,0.997669
-158.855081,116,1.070261
-104.890493,70,1.119162
-261.50696,84,1.172579
-336.303957,103,1.233835
-210.505735,86,1.284467
-223.987417,72,1.326257
-220.092078,74,1.368893
-228.986686,100,1.426263
-66.031778,72,1.468403
-73.499403,70,1.506868
36.157679,115,1.58622
-257.071274,124,1.651021
-74.801214,85,1.708203
-118.063604,82,1.76566
-261.726784,109,1.822724
-137.288016,86,1.869827
-72.971779,137,1.942852
-81.971271,76,1.989918
-150.233183,69,2.02591
-426.271496,88,2.07399
-119.71149,73,2.113892
-127.298117,101,2.187698
-344.743577,89,2.265162
-87.94418,58,2.314327
-98.246552,123,2.390306
-395.804969,82,2.44295
-304.908427,80,2.497548
-116.508979,84,2.556579
-125.391665,76,2.598902
-89.923563,113,2.673095
-167.698772,114,2.741894
-359.415783,100,2.801997
-372.853716,156,2.895015
-70.268987,60,2.933174
-153.314184,125,3.008155
-184.387182,148,3.098686
-399.349192,102,3.168796
-78.13295,67,3.212855
-99.010153,87,3.261194
-86.649102,65,3.304107
-122.167712,81,3.352501
-243.404716,107,3.42003
-494.848933,90,3.472376
-299.506243,116,3.543602
-46.780099,75,3.58418
-90.565405,108,3.645329
-146.514859,108,3.708324
-413.626294,110,3.765696
-142.372494,91,3.814683
-142.199543,63,3.852741
-202.16967,132,3.924261
-105.448853,70,3.961772
-109.489011,131,4.032752
-140.900179,124,4.10316
-186.908105,76,4.143874
-252.904556,86,4.192445
-148.343919,77,4.232616
-206.293495,132,4.312754
-200.050086,92,4.359607
-150.880541,126,4.425561
-328.965586,104,4.481947
-180.995494,112,4.547724
-144.204474,82,4.591788
-114.839584,82,4.636107
-119.324261,75,4.677556
-410.80159,106,4.738803
-78.9989,80,4.780978
-25.842964,95,4.83121
-15.446874,143,4.908481
-200.024007,61,4.944761
-110.548752,97,4.998863
-312.687342,125,5.067671
-146.483663,150,5.146408
-348.164756,80,5.191695
-93.697934,104,5.250434
-125.210037,87,5.301784
-91.364444,105,5.361821
-187.36726,136,5.440667
-317.093966,110,5.504088
-202.451076,75,5.545173
-348.499794,123,5.615003
-298.330646,94,5.669445
-105.532251,87,5.719331
-189.6645,111,5.777709
-243.355757,78,5.821231
-75.882719,67,5.86007
-80.43607,87,5.905105
-272.249357,101,5.960576
-236.252052,128,6.031852
