#{"t_start": 1768084635.449265, "env_id": "LunarLander-v3"}
r,l,t
-424.470997,108,0.128508
-87.205998,119,0.199668
-124.427315,85,0.270252
-126.323966,80,0.332742
-113.142891,105,0.444327
-319.267337,114,0.534069
-120.03837,96,0.599779
-53.017653,115,0.689906
-114.734216,100,0.761213
-198.106967,77,0.821617
-101.956804,70,0.870159
-71.463261,86,0.929714
-172.467275,111,1.004006
-71.208888,67,1.048115
-174.388359,136,1.138887
-161.672962,60,1.176617
-465.165919,127,1.25715
-342.173511,108,1.330031
-256.542849,95,1.391871
-99.558825,71,1.44024
-97.113231,131,2.72606
-263.373601,71,2.805781
-130.894768,76,2.883625
-149.750584,81,2.968371
-97.067585,83,3.046244
-33.213814,122,3.155138
-186.364986,112,3.259855
-172.348882,127,3.388967
-123.670277,116,3.507354
-137.083833,126,3.633629
-142.169217,99,3.727966
-99.049046,120,3.836612
-304.873902,96,3.936948
-59.355431,58,4.01337
-137.879929,76,4.081362
-144.492356,78,4.137468
-115.13672,101,4.22183
-125.757872,105,4.30037
-149.22024,120,4.38132
-80.622708,66,4.427757
-125.240796,75,4.477591
-353.533183,114,4.552586
-109.882892,72,5.708619
-98.453903,99,5.7723
-258.671103,97,5.832814
-116.467972,94,5.889941
-91.385567,86,5.942039
-222.681549,80,5.992147
-161.307141,65,6.032559
-123.994658,86,6.08799
-65.898094,117,6.159384
-120.55345,122,6.234649
-82.85371,61,6.274668
-119.447978,67,6.317746
-155.30711,131,6.400662
-135.974425,91,6.456919
-285.054687,104,6.520837
-127.677605,142,6.609459
-137.981947,86,6.662282
-324.63657,93,6.719713
-104.720572,72,6.76185
-157.58181,105,6.826861
-34.162756,89,6.880265
-261.661743,108,8.091868
-238.896211,110,8.162908
-316.657916,90,8.22449
-118.849428,79,8.279559
-184.760478,88,8.339938
-110.954452,90,8.418965
-13.159405,112,8.525596
-99.288361,87,8.610148
-143.522118,88,8.672146
-130.012211,79,8.730073
-88.954855,74,8.779927
-69.094477,63,8.826016
-183.192308,123,8.909478
-249.56479,100,8.978338
-148.13192,99,9.048887
-379.127905,122,9.1333
-103.491719,89,9.192082
-57.407377,66,9.238075
-77.941857,93,9.298292
-143.934235,108,9.371414
-135.895673,105,9.442615
-120.720419,100,9.507497
-87.71887,66,9.549396
-87.682532,77,10.586859
-397.260053,177,10.724748
-142.030122,86,10.785966
-93.238226,72,10.838983
-35.958051,134,10.949903
-103.363966,80,11.004692
-93.829142,87,11.063159
-122.663138,71,11.113044
-82.410957,81,11.168899
-97.085398,77,11.218795
-148.205391,72,11.268274
-131.506551,130,11.354927
-321.858343,129,11.447343
-176.952204,117,11.52426
-108.68938,78,11.577799
-131.763245,99,11.647223
-73.74446,115,11.725099
-153.428955,103,11.798261
-125.730006,97,11.869555
-95.821991,158,11.968936
-88.212022,118,13.026878
-140.28146,104,13.093176
-103.422342,91,13.149631
-279.677431,132,13.230795
-183.2881,90,13.28727
-51.494986,124,13.363222
-78.838077,70,13.406535
-268.541087,130,13.489492
-135.833154,137,13.571791
-1.520189,110,13.638007
-233.335244,103,13.700814
-267.320406,142,13.788327
-215.214492,173,13.907032
-169.6196,136,13.996512
-111.093347,67,14.043094
-89.192235,93,14.102247
-234.854346,120,14.187707
-248.389683,109,14.253754
-248.440304,112,15.435979
-93.712082,76,15.488202
-68.934825,159,15.593094
-257.044703,133,15.681463
-121.914586,125,15.769139
-94.366095,82,15.831116
-43.185341,101,15.949472
-101.85039,94,16.031909
-137.362141,90,16.092899
-69.454558,99,16.173269
-67.730143,104,16.243592
-188.386314,86,16.305669
-99.554341,86,16.376958
-282.581889,94,16.465468
-90.755498,115,16.571376
-256.761572,154,16.724725
-85.135147,96,16.824492
-86.918833,127,16.933311
-101.707774,132,17.037859
-87.925827,108,18.297297
-71.437428,126,18.378027
-393.669651,185,18.49012
-230.371236,122,18.564706
-78.631073,158,18.661964
-53.098047,75,18.708894
-94.823962,121,18.790663
-91.975594,79,18.842578
