#{"t_start": 1768085452.1975608, "env_id": "LunarLander-v3"}
r,l,t
-147.471207,126,0.072404
-121.553188,78,0.12141
-186.653274,64,0.151863
-381.025021,103,0.210809
-95.618049,74,0.254933
-136.127008,82,0.289136
-71.604745,69,0.316502
-82.025979,66,0.343174
-100.592886,99,0.386267
-130.671338,86,0.421171
-108.195328,63,0.448054
-213.279684,123,0.499067
-27.291722,118,0.549834
-162.040187,96,0.588857
-186.671485,86,0.62444
-254.38482,95,0.666903
-119.433139,73,0.698027
-197.096349,79,0.730758
-333.554143,114,0.779372
-187.775414,62,0.806288
-262.64548,86,0.845614
-210.569191,84,0.879187
-114.21907,69,0.911342
-102.267967,60,1.952669
-102.615344,66,1.979745
-323.794909,110,2.031941
-134.338878,93,2.080116
-131.799932,85,2.114928
-239.332524,102,2.155216
-113.541106,74,2.183523
-49.359097,69,2.210078
-102.958066,85,2.24685
-92.612759,63,2.272702
-127.760588,101,2.312581
-45.764831,77,2.346289
-64.173535,69,2.375515
-224.658482,107,2.416164
-289.076769,100,2.460261
-405.138348,92,2.496896
-297.631777,181,2.568378
-207.469435,109,2.610457
-89.251116,92,2.646732
-135.42372,89,2.681137
-128.79933,126,2.729536
-108.260937,104,2.771781
-341.014918,90,3.77527
-149.290623,131,3.835065
-142.541407,112,3.892867
-165.407388,78,3.923284
-108.450322,69,3.951308
-148.324717,111,3.994145
-263.914316,89,4.028828
-211.844662,110,4.076503
-544.555665,122,4.126087
-365.714181,92,4.161792
-497.520303,121,4.206182
-189.085657,84,4.238131
-101.657849,74,4.266589
-109.894702,64,4.292768
-260.171702,101,4.332931
-295.129475,80,4.364531
-86.530793,63,4.391331
-80.518785,92,4.426994
-77.449399,111,4.473419
-138.677375,112,4.518684
-423.764047,88,4.552331
-174.047216,119,5.53938
-424.041806,92,5.576373
-42.473977,92,5.616382
-285.817518,148,5.678267
-114.748348,87,5.71531
-70.687623,84,5.748113
-23.491951,115,5.794383
-277.906053,127,5.842952
-362.244995,99,5.905875
-179.122779,95,5.941828
-245.069427,96,5.981861
-500.313974,102,6.026603
-330.787735,113,6.068246
-183.602023,85,6.103806
-255.626521,103,6.144386
-52.674744,70,6.171838
-49.194142,75,6.203714
-389.181592,107,6.244449
-140.242189,66,6.270997
-374.074486,111,6.317536
-518.7343,94,6.353809
-256.976326,89,7.365854
-121.602456,102,7.406991
-155.44406,117,7.458265
-171.224399,121,7.5053
-185.507522,95,7.56526
-215.348507,82,7.598437
-255.746587,105,7.638297
-274.798835,151,7.696302
-244.482069,128,7.747463
-237.708892,66,7.773161
-269.623848,103,7.821056
-100.650983,134,7.872688
-59.659077,71,7.900047
-185.699384,122,7.948723
-176.347059,113,8.010292
