#{"t_start": 1768083746.3892963, "env_id": "LunarLander-v3"}
r,l,t
-144.711207,126,1.417724
-119.873188,78,1.452468
-185.423274,64,1.491307
-378.535021,103,1.548236
-94.028049,74,1.58586
-134.417008,82,1.634063
-69.774745,69,1.66268
-80.345979,66,1.695695
-98.432886,99,1.757757
-128.721338,86,1.798272
-106.935328,63,1.830559
-210.399684,123,1.889083
-24.561722,118,1.942619
-159.970187,96,1.993294
-184.931485,86,2.03276
-252.28482,95,2.075917
-117.603139,73,2.110212
-195.296349,79,2.157103
-330.764143,114,2.211863
-186.305414,62,2.241806
-261.02548,86,2.293566
-208.709191,84,2.336046
-112.77907,69,2.367965
-100.797967,60,3.712998
-126.12126,65,3.741633
-152.50304,64,3.770575
-49.461724,107,3.825829
-109.500577,75,3.984227
-128.313482,102,4.038638
-120.834057,79,4.08157
-257.774348,82,4.11675
-301.585358,132,4.173134
-78.732619,61,4.203259
-248.56771,112,4.256202
-185.006336,67,4.29147
-322.858951,101,4.337506
-147.039926,104,4.399167
-15.663626,70,4.428064
-148.883722,98,4.470917
-373.455691,99,4.520915
-250.655978,106,4.573145
-74.540866,65,4.638677
-70.909926,70,4.668257
-83.200277,85,4.716497
-175.598647,99,4.75789
-286.020532,87,4.804246
-43.634458,64,4.839499
-132.021446,113,6.085263
-232.782381,104,6.15337
-289.075225,98,6.211053
-299.645949,93,6.250645
-130.709275,99,6.29213
-138.407923,70,6.321766
-110.554927,135,6.38749
-241.41114,125,6.445871
-76.331924,115,6.505886
-269.67954,134,6.57744
-380.472089,108,6.630001
-186.478695,64,6.663013
-144.021068,136,6.718549
-43.959154,99,6.760307
-87.606406,65,6.78864
-230.270548,133,6.856234
-52.916453,66,6.88398
-232.355417,95,6.923166
-283.386213,86,6.967252
-174.942903,132,7.031034
-262.508223,153,8.306853
-227.471153,131,8.404896
-255.319752,166,8.479139
-223.40084,102,8.526775
-167.294719,110,8.575895
-77.094245,76,8.606612
-354.843903,140,8.67395
-269.673481,92,8.711119
-228.981357,73,8.74148
-97.54761,158,8.842153
-135.659103,109,8.891509
-153.919895,114,8.940457
-222.181203,87,8.993159
-244.870403,152,9.069635
-222.886313,186,9.157446
-100.609646,99,9.214083
-344.501876,137,10.532692
-107.060527,91,10.570506
-114.790213,140,10.632439
-116.052885,121,10.700163
-90.380134,114,10.760909
-64.630972,66,10.788742
-80.817518,98,10.831733
-196.381901,103,10.889246
-112.287864,143,10.965419
-120.420109,92,11.033561
-151.484065,92,11.077293
-149.766643,106,11.123998
-100.829728,83,11.167312
-202.236589,116,11.234644
-147.085043,111,11.291346
-134.147229,99,11.356331
15.508973,103,11.438876
-79.274748,63,11.463362
-137.776434,131,11.5156
-112.764203,112,11.560428
-115.560702,130,12.807211
-109.136261,131,12.863232
4.122645,132,12.920574
-124.5622,110,12.979287
-118.456433,72,13.014307
-122.364191,109,13.074579
-81.089846,94,13.122316
-265.32811,138,13.193854
-132.310195,126,13.251648
-98.025993,72,13.291112
-76.04628,119,13.359048
-216.673782,146,13.434239
-91.337042,109,13.486678
-63.821091,106,13.543112
-68.474916,118,13.606672
-55.978681,82,13.649054
-181.594897,119,13.701195
-95.268132,85,13.741502
-185.446191,107,15.023395
